Date,Open,High,Low,Close,Adj Close,Volume
2022-02-12,460.395142,464.729706,456.169403,461.092041,461.092041,159743
2022-02-13,461.075378,487.407623,452.127563,455.059875,455.059875,116785
2022-02-14,454.974731,466.197052,448.974884,460.599243,460.599243,78847
2022-02-15,460.506744,469.134094,460.291962,467.020630,467.020630,111706
2022-02-16,467.034332,467.257843,458.624817,460.556091,460.556091,100646
2022-02-17,460.556091,462.622314,456.208435,456.569672,456.569672,105952
2022-02-18,456.208435,460.548126,445.761261,455.073883,455.073883,133650
2022-02-19,455.073883,458.929901,453.897491,454.172852,454.172852,75913
2022-02-20,454.172852,456.295715,452.428833,452.782410,452.782410,73759
2022-02-21,452.782410,455.874390,446.432129,447.655426,447.655426,266671
2022-02-22,447.655426,449.596069,438.561096,442.314148,442.314148,79734
2022-02-23,442.314148,449.217468,441.394165,442.872955,442.872955,88797
2022-02-24,442.872955,448.091278,439.270111,440.313293,440.313293,91009
2022-02-25,440.312653,444.870819,432.530487,432.530487,432.530487,90465
2022-02-26,432.530487,439.506775,419.694092,423.538879,423.538879,84706
2022-02-27,423.538879,431.756409,398.081909,398.081909,398.081909,81303
2022-02-28,398.081909,415.733154,367.971924,397.838379,397.838379,65715
2022-03-01,397.838379,430.692993,396.439087,429.138672,429.138672,129180
2022-03-02,429.128571,444.271271,417.539276,420.183136,420.183136,90030
2022-03-03,420.183136,427.740509,420.183136,422.400818,422.400818,100754
2022-03-04,422.065735,426.028076,399.453918,424.105682,424.105682,80404
2022-03-05,424.105682,424.105682,407.420105,408.879883,408.879883,69278
2022-03-06,408.879883,411.452240,399.771942,408.771973,408.771973,61037
2022-03-07,408.771973,418.210968,399.330750,407.765533,407.765533,115970
2022-03-08,407.776642,412.218719,403.135284,405.536346,405.536346,61943
2022-03-09,405.536346,413.730835,403.795837,410.797424,410.797424,127252
2022-03-10,410.808228,412.984589,406.792145,410.352661,410.352661,87018
2022-03-11,410.352661,412.243225,407.644073,408.668945,408.668945,74414
2022-03-12,408.668945,410.064911,397.159210,398.548828,398.548828,72045
2022-03-13,398.548828,404.760254,390.870392,391.104156,391.104156,68182
2022-03-14,391.104156,391.104156,370.922974,380.642151,380.642151,115757
